Wage_Euro,Value_Euro,Name,Age,Nationality,Overall,Potential,Club,Special,Acceleration,Aggression,Agility
565000,95500000,Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF,2228,89,63,89
565000,105000000,L. Messi,30,Argentina,93,93,FC Barcelona,2154,92,48,90
280000,123000000,Neymar,25,Brazil,92,94,Paris Saint-Germain,2100,94,56,96
510000,97000000,L. Suárez,30,Uruguay,92,92,FC Barcelona,2291,88,78,86
230000,61000000,M. Neuer,31,Germany,92,92,FC Bayern Munich,1493,58,29,52
355000,92000000,R. Lewandowski,28,Poland,91,91,FC Bayern Munich,2143,79,80,78
215000,64500000,De Gea,26,Spain,90,92,Manchester United,1458,57,38,60
295000,90500000,E. Hazard,26,Belgium,90,91,Chelsea,2096,93,54,93
340000,79000000,T. Kroos,27,Germany,90,90,Real Madrid CF,2165,60,60,71
275000,77000000,G. Higuaín,29,Argentina,90,90,Juventus,1961,78,50,75
310000,52000000,Sergio Ramos,31,Spain,90,90,Real Madrid CF,2153,75,84,79
285000,83000000,K. De Bruyne,26,Belgium,89,92,Manchester City,2162,76,68,80
190000,59000000,T. Courtois,25,Belgium,89,92,Chelsea,1282,46,23,61
265000,67500000,A. Sánchez,28,Chile,89,89,Arsenal,2181,88,80,90
340000,57000000,L. Modrić,31,Croatia,89,89,Real Madrid CF,2228,75,62,93
370000,69500000,G. Bale,27,Wales,89,89,Real Madrid CF,2263,93,65,77
325000,66500000,S. Agüero,29,Argentina,89,89,Manchester City,2074,90,63,86
225000,38000000,G. Chiellini,32,Italy,89,89,Juventus,1867,68,92,59
110000,4500000,G. Buffon,39,Italy,89,89,Juventus,1335,49,38,55
215000,79000000,P. Dybala,23,Argentina,88,93,Juventus,2063,88,48,91
82000,57000000,J. Oblak,24,Slovenia,88,93,Atlético Madrid,1290,43,34,67
150000,75000000,A. Griezmann,26,France,88,91,Atlético Madrid,2104,87,69,90
225000,70500000,Thiago,26,Spain,88,90,FC Bayern Munich,2185,77,57,90
165000,61000000,P. Aubameyang,28,Gabon,88,88,Borussia Dortmund,2078,95,43,77
210000,44000000,L. Bonucci,30,Italy,88,88,Milan,1995,62,82,60
215000,48000000,J. Boateng,28,Germany,88,88,FC Bayern Munich,1989,72,82,58
125000,40000000,D. Godín,31,Uruguay,88,88,Atlético Madrid,1930,62,86,63
215000,48000000,M. Hummels,28,Germany,88,88,FC Bayern Munich,2038,62,66,64
265000,60000000,M. Özil,28,Germany,88,88,Arsenal,1927,75,48,83
165000,38000000,H. Lloris,30,France,88,88,Tottenham Hotspur,1318,65,31,55
175000,34000000,Thiago Silva,32,Brazil,88,88,Paris Saint-Germain,2124,70,77,74
240000,27000000,Z. Ibrahimović,35,Sweden,88,88,Manchester United,2075,63,84,81
225000,36000000,A. Robben,33,Netherlands,88,88,FC Bayern Munich,2081,87,47,89
190000,52500000,N. Kanté,26,France,87,90,Chelsea,2154,82,90,83
130000,64500000,M. Verratti,24,Italy,87,91,Paris Saint-Germain,2154,69,89,87
195000,66500000,P. Pogba,24,France,87,92,Manchester United,2238,72,75,76
165000,65000000,C. Eriksen,25,Denmark,87,91,Tottenham Hotspur,2064,77,44,78
